dataset,method,graph_seed,training_seed,budget_strategy,edge_score_strategy,official_relation_id,official_relation_name,relation_pair_name,original_full_edge_count,candidate_edge_count_after_node_pruning,retained_edge_count,retention_vs_candidate,retention_vs_full,requested_relation_budget,actual_relation_budget,source_relation_id,source_relation_name,source_src_type,source_dst_type,reciprocal_official_relation_id,reciprocal_official_relation_name,reciprocal_count_consistent,min_edges_constraint_active,relation_dropped_flag,canonical_method
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,13106,0.750028613940712,0.6671417663527616,13106,13106,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,13106,0.750028613940712,0.6671417663527616,13106,13106,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,13106,0.750028613940712,0.6671417663527616,13106,13106,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,13106,0.750028613940712,0.6671417663527616,13106,13106,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,13106,0.750028613940712,0.6671417663527616,13106,13106,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,2698,0.7498610339077265,0.18830262423227248,2698,2698,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,1,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,2698,0.7498610339077265,0.18830262423227248,2698,2698,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,2,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,2698,0.7498610339077265,0.18830262423227248,2698,2698,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,3,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,2698,0.7498610339077265,0.18830262423227248,2698,2698,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,4,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,1,5.722788142382969e-05,5.090353779587681e-05,0,1,3,paper__to__author,P,A,0,AP,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,2698,0.7498610339077265,0.18830262423227248,2698,2698,2,paper__to__venue,P,V,5,VP,False,False,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,5,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,1,0.00027793218454697053,6.979341150195422e-05,0,1,5,venue__to__paper,V,P,3,PV,False,True,False,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00
DBLP,H6-APV-skeleton,1,1,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,1,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,3,paper__to__author,P,A,0,AP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,1,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,1,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,1,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,1,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,5,venue__to__paper,V,P,3,PV,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,2,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,2,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,3,paper__to__author,P,A,0,AP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,2,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,2,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,2,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,2,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,5,venue__to__paper,V,P,3,PV,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,3,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,3,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,3,paper__to__author,P,A,0,AP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,3,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,3,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,3,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,3,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,5,venue__to__paper,V,P,3,PV,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,4,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,4,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,3,paper__to__author,P,A,0,AP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,4,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,4,relation_channel_grid,random_edge_within_relation,3,PV,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,2,paper__to__venue,P,V,5,VP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,4,relation_channel_grid,random_edge_within_relation,4,TP,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,4,term__to__paper,T,P,2,PT,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,4,relation_channel_grid,random_edge_within_relation,5,VP,PV_VP,14328,3598,3598,1.0,0.25111669458403124,3598,3598,5,venue__to__paper,V,P,3,PV,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,5,relation_channel_grid,random_edge_within_relation,0,AP,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,0,author__to__paper,A,P,1,PA,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,5,relation_channel_grid,random_edge_within_relation,1,PA,AP_PA,19645,17474,17474,1.0,0.8894884194451514,17474,17474,3,paper__to__author,P,A,0,AP,True,False,False,H6-relgrid-APPA100-PVVP100-PTTP00
DBLP,H6-APV-skeleton,1,5,relation_channel_grid,random_edge_within_relation,2,PT,PT_TP,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,1,paper__to__term,P,T,4,TP,True,True,False,H6-relgrid-APPA100-PVVP100-PTTP00
